Species,Carollia_sowelli,Carollia_castanea,Carollia_perspicillata
Piper_aduncum,1.518987342,1.101321586,0.865800866
Piper_prismaticum,1.265822785,0.220264317,0.432900433
Piper_auritifolium,0.253164557,0,0
Piper_sublineatum,0.506329114,0,0
Piper_colonense,6.835443038,3.964757709,6.060606061
Piper_concepcionis,0.759493671,1.101321586,0.865800866
Piper_darienense,0,0,0
Piper_evasum,0,0,0.432900433
Piper_garagaranum,0,0,0
Piper_hispidum,2.53164557,3.083700441,5.194805195
Piper_multiplinervium,7.088607595,18.28193833,18.61471861
Piper_nudifolium,0,0.220264317,0
Piper_peltatum,0.506329114,0,0.865800866
Piper_peracuminatum,4.303797468,4.625550661,4.761904762
Piper_reticulatum,5.316455696,6.167400881,3.896103896
Piper_sanctifelicis,35.44303797,28.63436123,23.37662338
Piper_paulowniifolium,0.506329114,2.422907489,0.432900433
Piper_silvivagum,0.253164557,0.881057269,0.432900433
Piper_spD,0,0,0
Piper_generalense,0.253164557,1.54185022,3.896103896
Piper_umbricola,7.594936709,11.45374449,6.493506494
Piper_urostachyum,0.759493671,0.440528634,0.432900433